Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
1820,2,27.826109134397825,13.522503884992906,13,1700,15,3,2
1840,3,15.163361875545434,20.43767380001403,12,1669.362833999018,15,3,2
1860,2,33.513114783326614,8.9941509492481,11,1700,15,3,2
1880,4,8.953612375538,16.266731715643346,16,1700,15,3,2
1900,2,6.65644202037754,7.969551099468693,14,1700,15,3,2
1920,4,3.7468066674591682,13.399059089526114,14,1700,15,3,2
1940,4,19.17196401458341,19.9798076829173,13,1700,15,3,2
1960,4,28.87700017500663,31.93003670618661,13,864.8974305669374,10,3,7
1980,3,39.32915657817091,32.131134505156446,15,15.718015205986148,5,3,12
2000,2,16.28175606183504,8.773198184409617,18,801.5941422973129,9,3,8
2020,5,18.409194294636677,16.315513052632014,18,1059.5082286130719,12,3,5
2040,5,20.461508083386093,8.87054484701745,16,1700,15,3,2
2060,3,32.1817115477927,6.437525570891012,16,1700,15,3,2
2080,3,14.057135160015832,23.18090065494592,12,1477.3369541537857,15,3,2
2100,4,18.189266814522398,19.6576437650189,15,1501.3018906024627,15,3,2
2120,2,14.419349279336302,19.55889673463389,16,1532.1791191780903,15,3,2
2140,5,26.557262329060904,31.61877197727942,17,718.865080768531,8,3,9
2160,2,25.878309710839176,6.364627309896302,16,1673.3411690757898,15,3,2
2180,2,13.816609942222158,32.183887921435904,15,820.4690145752766,9,3,8
2200,3,11.974878693240498,15.94982509352576,16,1103.9812580284733,12,3,5
2220,3,29.570743843868286,14.60699640601888,18,1481.4915096071518,15,3,2
2240,3,23.835737678638225,33.453424772900085,19,539.7517755041458,6,3,11
2260,4,16.373139224691613,19.564635616772346,18,570.2272823300816,6,3,11
2280,3,5.103133807352833,18.550218019352844,21,671.7120209753825,7,3,10
2300,5,12.711398598946744,14.221380675424674,22,1076.2153736956552,12,3,5
2320,5,22.3832611687385,8.307840184761517,20,1700,15,3,2
2340,3,24.50988956557012,32.47487749678536,16,826.7585752250247,9,3,8
