Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume
162,720.0,720.0,540.0,4.930124934314979,7.733287271117462,9.851494912877948,3,,,,,
163,900.0,720.0,720.0,5.736661505849838,0.0,7.946437648229221,3,,,,,
164,1260.0,900.0,720.0,14.461205575280664,15.290655717121382,0.0,3,,,,,
165,1440.0,900.0,720.0,6.040844760905391,0.0,0.0,2,,,,,
166,1440.0,1260.0,900.0,6.313889188710202,26.448805835713074,9.030992336915725,3,,,,,
167,1620.0,1440.0,1080.0,6.687379696829036,0.4657166698429194,7.695113010482639,3,,,,,
168,1800.0,1440.0,1080.0,10.646153878874523,0.0,0.0,3,,,,,
169,1980.0,1620.0,1080.0,10.55067892660162,12.205871997687723,0.0,3,,,,,
170,1980.0,1620.0,1080.0,14.995380882458184,0.0,0.0,2,,,,,
171,2520.0,1980.0,1080.0,26.25867058763731,18.798948642396596,0.0,2,,,,,
172,2520.0,2160.0,1080.0,14.96099469165273,10.766609009663597,0.0,2,,,,,
173,2880.0,2160.0,1080.0,17.150268685451902,0.0,0.0,3,,,,,
174,2880.0,2700.0,1080.0,10.798971148814474,29.63981832097744,0.0,3,,,,,
175,3420.0,2700.0,1080.0,18.147966610691906,0.0,0.0,3,,,,,
176,3420.0,2880.0,1080.0,4.954507077846415,11.019258341813298,0.0,2,,,,,
177,3600.0,3060.0,1080.0,7.759555757593735,15.444745365637402,0.0,2,,,,,
178,3780.0,3240.0,1260.0,6.555008188057343,2.016130000652794,3.617716267823804,2,,,,,
179,0.0,180.0,360.0,2.9848848211779946,8.409397616692615,7.675383033890171,2,,,,,
180,180.0,360.0,360.0,6.44510224683567,6.055062895428875,0.0,2,,,,,
181,180.0,540.0,720.0,9.020595154687308,11.59018623974859,29.280714941028425,1,,,,,
182,540.0,540.0,900.0,13.693192873103518,0.0,1.7371157077017567,1,,,,,
183,720.0,1080.0,1260.0,7.663824171567057,36.929066287408574,28.481590431001298,2,,,,,
184,720.0,1080.0,1260.0,0.0,0.0,0.0,2,,,,,
185,720.0,1440.0,1620.0,0.0,20.446087510897826,22.56405351448052,1,,,,,
186,720.0,1620.0,1800.0,0.002883658641413452,6.157283504491318,11.738970228052873,1,,,,,
187,900.0,1800.0,1980.0,4.812859124686024,11.223729977166386,1.8582881601853767,1,,,,,
188,900.0,1980.0,2340.0,7.485742847241757,10.50995925630076,28.39998926234178,2,,,,,
189,1080.0,2160.0,2340.0,8.768718940802009,11.416172883795639,0.0,2,,,,,
190,1080.0,2160.0,2880.0,0.0,0.0,26.59658621610485,2,,,,,
191,1080.0,2340.0,2880.0,0.0,11.215290287958624,0.0,2,,,,,
192,1080.0,2340.0,3420.0,0.0,0.0,27.590674324194236,2,,,,,
193,1080.0,2340.0,3420.0,0.0,0.0,0.0,2,,,,,
194,1260.0,2520.0,3600.0,19.828931911681497,12.147419710372986,10.717524039544438,2,,,,,
195,1440.0,2700.0,3600.0,10.844711799389017,18.867286596936594,0.0,3,,,,,
196,1620.0,3060.0,3780.0,6.846158706783949,23.612419746680047,10.69386799263062,3,,,,,
197,1620.0,3240.0,3960.0,0.0,3.1556525283981784,18.452456809973228,2,,,,,
198,1620.0,3420.0,4140.0,0.0,34.343334426770866,10.569664609097154,2,,,,,
199,0.0,360.0,360.0,0.0,16.021745671655907,31.561133242586454,2,,,,,
200,0.0,360.0,540.0,0.0,0.0,10.180419420751718,1,,,,,
201,0.0,540.0,900.0,0.0,4.129752006108589,22.040392317036133,1,,,,,
202,0.0,900.0,1080.0,1.0524010893036007,25.45540693072894,9.76131507457391,2,,,,,
203,360.0,900.0,1440.0,9.48442376215676,0.0,7.386742299060718,2,,,,,
204,360.0,900.0,1620.0,3.263157717976147,0.0,10.034275053990882,2,,,,,
205,540.0,900.0,1800.0,3.5475612366932787,0.0,8.599826021461846,2,,,,,
206,720.0,1080.0,2160.0,4.689126885181831,21.23256609572408,26.704324726336875,1,,,,,
207,720.0,1080.0,2160.0,0.0,0.0,0.0,1,,,,,
208,720.0,1260.0,2160.0,10.607096212009992,6.240331998676396,0.0,1,,,,,
209,900.0,1440.0,2520.0,12.897878850700314,8.318091605630684,24.279531517841708,2,,,,,
210,1080.0,1620.0,2520.0,4.3663888760993546,6.829835771394954,0.0,2,,,,,
211,1260.0,1980.0,2520.0,6.659285894846789,14.18301178412733,0.0,2,,,,,
212,1260.0,2160.0,2520.0,0.0,7.498827823946641,0.0,1,,,,,
213,1440.0,2340.0,2700.0,7.975163272487388,3.005149786807948,10.179110159265292,1,,,,,
214,1440.0,2340.0,2700.0,4.776980840418332,0.0,0.0,1,,,,,
215,1800.0,2340.0,3060.0,7.852874449374288,0.0,26.635360322516515,1,,,,,
216,1800.0,2520.0,3060.0,0.0,0.8056612802562313,0.0,1,,,,,
217,1800.0,2520.0,3420.0,0.0,0.0,23.494205398705503,2,,,,,
218,1800.0,2880.0,3420.0,4.041519477637223,12.843727705274688,0.0,2,,,,,
219,180.0,0.0,180.0,3.940156596937546,0.0,8.65433901090853,2,,,,,
220,180.0,180.0,360.0,0.0,9.061870512216075,10.479619927467828,1,,,,,
221,180.0,360.0,720.0,0.0,7.375148693430589,15.51220295234638,1,,,,,
222,180.0,360.0,720.0,0.0,0.0,0.0,1,,,,,
223,180.0,360.0,720.0,0.0,0.0,0.0,1,,,,,
224,180.0,540.0,900.0,10.780225125806453,6.785772177357785,11.569203086168045,2,,,,,
225,540.0,540.0,900.0,10.717346703962013,0.0,0.0,2,,,,,
226,540.0,540.0,900.0,0.0,0.0,0.0,1,,,,,
227,720.0,540.0,900.0,8.37154062580178,0.0,0.0,1,,,,,
228,720.0,720.0,900.0,0.0,0.4630345765974653,0.0,1,,,,,
