Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume,Metering Rate,Green Time,Red Time
243,900.0,1080.0,900.0,23.792984146513636,27.133985813414085,33.333333333333336,4,,,,,,1700,15,2
244,1260.0,1080.0,1260.0,21.788163091832757,0.0,22.388039126235526,4,,,,,,1700,15,2
245,1440.0,1080.0,1260.0,13.555107999761637,0.0,0.0,5,,,,,,1700,15,2
246,1800.0,1080.0,1620.0,14.906043104341412,0.0,31.35027471176765,5,,,,,,1700,15,2
247,1800.0,1080.0,1800.0,0.0,0.0,23.084345295186875,4,,,,,,1700,15,2
248,1980.0,1260.0,1980.0,7.692641748346792,11.334674418017698,0.7761648420427036,4,,,,,,1700,15,2
249,1980.0,1440.0,1980.0,0.0,9.076299077474204,0.0,4,,,,,,1700,15,2
250,1980.0,1440.0,2340.0,13.362217059129003,0.0,17.68074614109878,4,,,,,,1700,15,2
251,2340.0,1800.0,2340.0,13.251481882790017,21.867946613536304,0.0,4,,,,,,1700,15,2
252,2340.0,1800.0,2340.0,6.530970605539703,0.0,0.0,3,,,,,,1700,15,2
253,2700.0,2160.0,2880.0,22.14966772980347,14.062391295976795,36.36751502472274,4,,,,,,1700,15,2
254,2880.0,2160.0,2880.0,16.86557949240021,0.0,0.0,4,,,,,,1700,15,2
255,3240.0,2340.0,3060.0,19.496200329230362,9.54875429403046,12.218831039164494,4,,,,,,1700,15,2
256,3240.0,2700.0,3240.0,6.338616083643463,2.1948697100839354,19.69467961777885,4,,,,,,1700,15,2
257,3600.0,2880.0,3420.0,11.93431064431915,8.784774149116004,3.308520391427313,4,,,,,,1700,15,2
258,3600.0,2880.0,3600.0,5.032022020256477,0.0,11.317786721364579,4,,,,,,1700,15,2
259,180.0,360.0,0.0,8.56326471990864,18.855137740781913,0.0,4,,,,,,1700,15,2
260,180.0,360.0,360.0,2.3419365545445694,0.0,19.942885874441647,5,,,,,,1700,15,2
261,360.0,720.0,360.0,3.789340905872033,18.020491547663653,0.0,5,,,,,,1700,15,2
262,360.0,900.0,540.0,3.581226735106687,16.763139321828646,4.809341026181831,5,,,,,,1700,15,2
263,720.0,1260.0,540.0,27.05921913224832,20.181677540763587,0.0,5,,,,,,1700,15,2
264,720.0,1260.0,540.0,2.549332951500105,0.0,0.0,5,,,,,,1700,15,2
265,900.0,1620.0,720.0,13.09409331592235,22.14345577655905,15.238071037672777,5,,,,,,1700,15,2
266,1080.0,1620.0,900.0,10.148932873104854,0.0,7.712985073813646,5,,,,,,1700,15,2
267,1260.0,1620.0,1080.0,13.401955314530293,0.0,14.843047301693938,6,,,,,,1700,15,2
268,1440.0,1980.0,1080.0,11.352081324158311,30.283550785416935,0.0,6,,,,,,1700,15,2
269,1620.0,1980.0,1440.0,26.96409394017394,25.0,26.428556744264142,6,,,,,,1700,15,2
270,1800.0,2340.0,1620.0,5.798826992646393,20.842662645740972,14.91199636486158,6,,,,,,1700,15,2
271,1980.0,2520.0,1800.0,15.709117819014295,1.8893122597106071,14.08129471438239,6,,,,,,1700,15,2
272,2160.0,2700.0,2160.0,5.952597673175812,32.31245303485224,23.044959162162588,6,,,,,,1700,15,2
273,2160.0,2700.0,2340.0,32.84922731544763,0.0,18.626407909353777,6,,,,,,1700,15,2
274,2700.0,2700.0,2520.0,13.601948990825955,0.0,14.815435733767876,6,,,,,,1700,15,2
275,2700.0,2880.0,2880.0,16.666666666666668,21.021530976977942,22.897164330693915,6,,,,,,1700,15,2
276,2700.0,3060.0,3060.0,7.556634229351289,4.298623542834434,13.833297178278295,6,,,,,,1700,15,2
