Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
3800,3,4.6740549479523,0.0,10,1700,15,3,2
3820,6,0.0,29.262771763092132,11,1700,15,3,2
3840,2,12.92085515862027,0.0,10,1700,15,3,2
3860,3,10.36165712678212,9.067527812400536,10,1700,15,3,2
3880,0,8.249582544124223,8.506886430647379,11,1700,15,3,2
3900,4,8.083917052107381,4.929186019686919,9,1700,15,3,2
3920,0,8.834460377482856,14.05246273427565,10,1700,15,3,2
3940,4,14.356060942674276,26.872082158449,9,1700,15,3,2
3960,0,6.895592362900516,24.1305252075108,10,1700,15,3,2
3980,2,0.0,17.938171911684247,10,1700,15,3,2
4000,4,11.942725380140473,19.795616765956463,12,1700,15,3,2
4020,1,6.394847506805945,29.002437848976115,11,1700,15,3,2
4040,4,7.857361770055604,5.553105698701681,9,1700,15,3,2
4060,2,17.25782934481117,0.0,8,1700,15,3,2
4080,1,3.6243361264666873,11.24669371906748,10,1700,15,3,2
4100,5,3.5071146267682707,29.94288912918819,9,1700,15,3,2
4120,2,9.675760729328431,3.9502905249416167,9,1700,15,3,2
4140,3,16.991341499044665,4.798757830697771,10,1700,15,3,2
4160,2,8.300053852099154,21.219133525801226,10,1700,15,3,2
4180,0,7.247537477235255,9.738098285636928,10,1700,15,3,2
4200,1,4.1680043028350156,0.0,11,1700,15,3,2
4220,0,3.3644073302411925,5.136669746525513,10,1700,15,3,2
4240,3,0.0,17.86598752167568,11,1700,15,3,2
4260,5,3.80071021617141,5.14585599031913,11,1700,15,3,2
4280,3,3.6393577581748104,0.0,10,1700,15,3,2
4300,4,21.445955519175186,4.919959449913828,12,1528.783113657737,15,3,2
4320,4,16.853893268773845,13.16711804620354,11,1679.0105848435678,15,3,2
4340,2,12.27441783288441,19.94819841984281,9,1700,15,3,2
4360,5,22.50198268469603,21.464329069203814,9,1454.8612120712778,15,3,2
4380,4,10.4442055823597,14.592929193607537,11,1700,15,3,2
4400,4,0.0,5.047422148603194,9,1700,15,3,2
4420,4,0.0,19.082876939425358,11,1700,15,3,2
4440,0,16.609549483155206,12.186920815671934,10,1700,15,3,2
4460,0,6.02871249736836,0.0,9,1700,15,3,2
4480,4,12.869180884297293,10.577662092509854,8,1700,15,3,2
4500,2,10.789144500984094,6.214179686230636,11,1700,15,3,2
4520,0,13.26665476093467,5.248919693455416,12,1700,15,3,2
4540,5,13.02888887591962,13.2332419958099,11,1700,15,3,2
4560,3,19.3286857042267,15.756655016351337,11,1676.992000704131,15,3,2
4580,0,8.206143042468739,17.119604976142,11,1700,15,3,2
4600,0,0.0,17.422603716234637,12,1700,15,3,2
4620,4,6.184889065457355,0.0,12,1700,15,3,2
4640,6,0.0,4.918507051176372,13,1700,15,3,2
4660,3,3.548417752392652,5.514516729969425,12,1700,15,3,2
4680,4,4.192596422899442,6.23310240509151,12,1700,15,3,2
4700,1,18.68173484131148,4.469957596469006,13,1700,15,3,2
4720,0,16.61927371794718,15.263052973720429,12,1700,15,3,2
4740,6,2.991646926568592,6.798825992655111,12,1700,15,3,2
4760,3,16.28159912982028,14.000897393589185,11,1700,15,3,2
4780,4,0.0,4.5193190852842235,11,1700,15,3,2
4800,5,7.77131281322454,9.107842356767529,11,1700,15,3,2
4820,6,0.0,11.036585176149552,9,1700,15,3,2
4840,0,7.7178723689144135,12.481411847647905,9,1700,15,3,2
4860,4,0.0,19.430846268399666,10,1700,15,3,2
4880,1,31.313528453006256,18.10668479317125,13,838.0530082895621,9,3,8
4900,1,16.32123644068315,7.139184410683204,13,1025.5664574417415,12,3,5
4920,0,0.0,0.0,12,1700,15,3,2
4940,3,8.108998964394232,0.0,11,1700,15,3,2
4960,0,0.0,15.45625764341215,12,1700,15,3,2
4980,2,0.0,10.670732750122625,11,1700,15,3,2
5000,3,0.0,0.0,12,1700,15,3,2
5020,0,4.386997450524177,0.0,11,1700,15,3,2
5040,3,0.0,13.569125320418607,10,1700,15,3,2
5060,0,1.782900835212331,15.867066609447042,11,1700,15,3,2
5080,0,3.4987491196602605,6.397700575007548,10,1700,15,3,2
5100,2,4.222873247385905,4.927098757874167,8,1700,15,3,2
5120,2,8.895005390866118,0.0,10,1700,15,3,2
5140,1,0.0,2.4792955505290593,10,1700,15,3,2
5160,0,0.0,4.146730291980323,11,1700,15,3,2
5180,2,3.953740367762748,0.0,11,1700,15,3,2
5200,0,4.030027225041977,0.0,11,1700,15,3,2
5220,0,3.9550998582171815,0.0,9,1700,15,3,2
5240,4,0.0,0.0,10,1700,15,3,2
5260,3,5.419588039194423,0.0,9,1700,15,3,2
5280,0,11.072373786782919,5.255070471215125,11,1700,15,3,2
5300,2,24.954259839716997,17.946007279912617,11,1283.2018112198102,15,3,2
5320,0,6.727472757927444,5.488094373671022,12,1700,15,3,2
5340,3,0.0,18.15158893474897,12,1700,15,3,2
5360,2,4.846217519445872,5.004737646731883,11,1700,15,3,2
5380,0,4.99949496620502,10.491741230968424,11,1700,15,3,2
5400,4,0.0,0.0,10,1700,15,3,2
5420,5,0.0,20.181043333498867,10,1700,15,3,2
5440,0,0.0,0.0,9,1700,15,3,2
5460,3,0.0,0.0,10,1700,15,3,2
5480,3,2.977694543153575,16.676256967639347,10,1700,15,3,2
5500,0,0.0,0.0,10,1700,15,3,2
5520,2,0.0,3.663994823318717,9,1700,15,3,2
5540,0,20.96906201921911,29.509565013510535,10,1562.1656586546624,15,3,2
5560,2,0.0,7.958737286116957,11,1700,15,3,2
5580,1,15.233421734717467,9.227537962912416,8,1700,15,3,2
5600,2,0.0,4.9085394598175,8,1700,15,3,2
5620,0,26.206008975327677,5.633607922360777,9,1195.5793717270626,14,3,3
5640,2,0.0,7.117135177168166,10,1700,15,3,2
5660,5,3.7575229690446577,0.0,10,1700,15,3,2
5680,1,0.0,4.4573875553093485,11,1700,15,3,2
5700,6,0.0,0.0,10,1700,15,3,2
5720,0,7.424705615392213,11.927925625423086,10,1700,15,3,2
5740,0,0.0,6.6018683347010665,12,1700,15,3,2
5760,1,0.0,0.0,12,1700,15,3,2
5780,1,3.375365922477158,0.0,11,1700,15,3,2
5800,1,26.047416037249604,12.664805158116602,10,1206.6808773925277,14,3,3
5820,2,0.0,40.01147720449202,11,1700,15,3,2
5840,0,3.918657480892307,0.0,12,1700,15,3,2
5860,1,7.417882945674137,3.8250593084588522,12,1700,15,3,2
5880,1,2.5557424423709563,11.423514926491407,9,1700,15,3,2
5900,3,0.0,0.0,12,1700,15,3,2
5920,0,4.6454289127837,6.280321856002047,11,1700,15,3,2
5940,1,0.0,2.812841365039276,14,1700,15,3,2
5960,0,23.887674056936703,0.0,11,1357.8628160144308,15,3,2
5980,2,0.0,0.0,9,1700,15,3,2
6000,2,0.0,0.0,8,1700,15,3,2
